"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",10.0964,10.6359,11.2259,10.6438899576667,0.288756639437103,NA,0.0069837448626383,2.4,1710,0.331886199613561,1.0005256682322
"ndt.mu",0.258944,0.296956,0.336915,0.2965783553,0.0197402489690304,NA,0.000122587193355317,0.6,25931,0.00255233692459714,1.00007095612629
"alpha.mu",0.579144,0.6219085,0.664691,0.621748274833333,0.021696019702629,NA,0.000183512657974914,0.8,13977,0.0208267948536337,1.00032119679677
"bias.mu",0.481452,0.52058,0.558537,0.5205991902,0.0196730687749029,NA,0.000142207129557206,0.7,19138,0.0160453910117952,1.00015428376262
"thetaGaze.mu",0.707676,0.7568395,0.804484,0.755828721933333,0.024651864732863,NA,0.000169223228707653,0.7,21222,-0.00174017435740369,1.00016925246039
"thetaGaze[1]",0.603077,0.7162555,0.830187,0.716651274366667,0.057846465626759,NA,0.000718477490706061,1.2,6482,0.0197876105829765,1.00035359224773
"thetaGaze[2]",0.679197,0.760707,0.842098,0.759712939066667,0.0415881179198557,NA,0.000491131171128064,1.2,7170,0.0280160482039688,1.00014982278361
"thetaGaze[3]",0.730012,0.8262025,0.922883,0.8259366416,0.0492326451831513,NA,0.000614193240297824,1.2,6425,0.0240404905349175,1.00011581799677
"thetaGaze[4]",0.722535,0.808403,0.893286,0.807815224133333,0.0437129706250284,NA,0.000442451820682217,1,9761,-0.00340384888444978,1.00039864531915
"thetaGaze[5]",0.609103,0.6945555,0.773838,0.693791466333333,0.0420651496331479,NA,0.000468920561836848,1.1,8047,-0.0100138196181767,1.00040300223656
"thetaGaze[6]",0.626275,0.7131925,0.796529,0.7121292713,0.0435373963446045,NA,0.000499012189701941,1.1,7612,0.016393447795019,1.00009722428564
"thetaGaze[7]",0.627088,0.7054785,0.779079,0.704293732333333,0.0390614519290896,NA,0.000453219150365666,1.2,7428,0.0277563281466866,1.00017103157473
"thetaGaze[8]",0.756634,0.8254245,0.890895,0.8251542582,0.034404077708934,NA,0.000323640511659806,0.9,11300,-0.0106326431226754,1.00003984295955
"thetaGaze[9]",0.695253,0.7640755,0.830804,0.7634952304,0.0346288356214432,NA,0.000345964894961554,1,10019,0.000140240256229933,1.00020801713632
"thetaGaze[10]",0.664761,0.7705285,0.872602,0.769225324866667,0.0528333730697469,NA,0.000454201359501727,0.9,13531,0.0126790619575899,1.00038323919381
"thetaGaze[11]",0.713387,0.7949635,0.874214,0.794714512266667,0.0411214131775312,NA,0.000455892608635801,1.1,8136,-0.00146305268940864,1.00002866962879
"thetaGaze[12]",0.791414,0.857039,0.925351,0.8567301593,0.0343546735352739,NA,0.000364677197613488,1.1,8875,0.00310033449927909,1.00019778174141
