"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",11.7843,12.3057,12.8042,12.3045182033333,0.260973483426204,NA,0.00927761098934722,3.6,791,0.576915463380903,1.00298246083705
"ndt.mu",0.283206,0.314507,0.346548,0.314473693533333,0.0160179010329692,NA,0.000102250234360796,0.6,24540,0.01764430788075,1.00010082601793
"alpha.mu",0.371455,0.4122515,0.452061,0.412190352133333,0.0203340657090954,NA,0.000145037668906736,0.7,19656,0.0191991028764659,1.00009434207291
"bias.mu",0.465281,0.500696,0.537678,0.500797256166667,0.0183815746253489,NA,0.000132456347798874,0.7,19258,0.00447564547061676,1.00007840691765
"thetaGaze.mu",0.273672,0.325603,0.378431,0.3262682052,0.0267227951030769,NA,0.000352848063228536,1.3,5736,0.0729665371882506,1.00009508050962
"thetaGaze[1]",0.160436,0.2295675,0.301041,0.23001033266,0.0359584949642149,NA,0.000327728833245889,0.9,12039,0.019320364030268,1.00020719002334
"thetaGaze[2]",0.198824,0.2940335,0.381916,0.292664279736667,0.0471552136527741,NA,0.00106843727218874,2.3,1948,0.284486049843347,1.00164287130404
"thetaGaze[3]",0.304948,0.363311,0.420775,0.362883704133333,0.0295326937742391,NA,0.000287930068400406,1,10520,0.00314768473574524,1.00028640850288
"thetaGaze[4]",0.211712,0.296206,0.374062,0.295231878733333,0.0415889151599458,NA,0.000694909939547375,1.7,3582,0.104488749280722,1.00023550061586
"thetaGaze[5]",0.358878,0.4103825,0.463039,0.4100765437,0.0266836604705506,NA,0.000241803442241182,0.9,12178,0.00334197246291271,1.00007709343933
"thetaGaze[6]",0.288733,0.366262,0.442011,0.365506950933333,0.0390944418803994,NA,0.000595497480058342,1.5,4310,0.0804427157888292,1.00062824928395
"thetaGaze[7]",0.113232,0.2157745,0.313002,0.2147998524,0.0511803706321427,NA,0.00134857543345004,2.6,1440,0.390851941051547,1.00164797272009
"thetaGaze[8]",0.213985,0.296249,0.376463,0.29490797794,0.0414987470334886,NA,0.000793854719837469,1.9,2733,0.178774372956743,1.00063631289792
"thetaGaze[9]",0.172258,0.263651,0.351547,0.262493223893333,0.0458886140391594,NA,0.00105736864179528,2.3,1883,0.301881977099241,1.00125573814468
"thetaGaze[10]",0.12229,0.230393,0.331774,0.229876872493333,0.0530439424756432,NA,0.00107433721422694,2,2438,0.204053428716854,1.00078045917581
"thetaGaze[11]",0.234793,0.3084385,0.375651,0.3077826606,0.0359570050381737,NA,0.000550532747556903,1.5,4266,0.0690894986894885,1.00013563725376
"thetaGaze[12]",0.244906,0.3214895,0.393884,0.320795560866667,0.0378660150966449,NA,0.000699669980157725,1.8,2929,0.135953485602316,1.00030795306747
"thetaGaze[13]",0.2466,0.343484,0.43888,0.3422715986,0.0493636260359744,NA,0.00126697426538758,2.6,1518,0.366635278261257,1.00020138946005
"thetaGaze[14]",0.171008,0.265101,0.350967,0.26387481275,0.0459191139397379,NA,0.00097632670419181,2.1,2212,0.230130055536794,1.00114799088367
"thetaGaze[15]",0.173777,0.254254,0.333689,0.25336347345,0.0408018628041484,NA,0.000657032287363124,1.6,3856,0.0943827895818365,1.00007880820044
"thetaGaze[16]",0.178795,0.2609415,0.341595,0.26093592524,0.0415619907631272,NA,0.000414980069392124,1,10031,-0.00518143217931013,1.00032149817919
"thetaGaze[17]",0.295976,0.370046,0.440889,0.3696819194,0.0369806598891533,NA,0.000450340958772614,1.2,6743,0.0209155690140644,1.00002340160256
"thetaGaze[18]",0.346786,0.422174,0.493027,0.421140691,0.0375472085402882,NA,0.000598258641563076,1.6,3939,0.112392730181004,1.00374042403349
"thetaGaze[19]",0.345021,0.4072975,0.473,0.4074744951,0.0323057235550533,NA,0.000354130599541127,1.1,8322,0.0124547864274788,1.00006803906795
"thetaGaze[20]",0.287845,0.3294035,0.371498,0.329341845566667,0.0214230255934754,NA,0.000191072700339523,0.9,12571,-0.00266069851294707,1.00001856600726
