"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",0.717543,0.8014055,0.89177,0.802349264733333,0.0445562978808056,NA,0.000323117914154765,0.7,19015,0.00839482572307559,0.999995882507454
"ndt.mu",0.880517,1.091855,1.28316,1.087200050119,0.103934470563435,NA,0.000620710579265604,0.6,28038,-0.00199121231297106,1.00010798963354
"alpha.mu",0.283743,0.338766,0.390831,0.337692819196667,0.0274178866913095,NA,0.000177072541604856,0.6,23975,9.22674649265464e-06,1.000076462313
"bias.mu",0.479845,0.5237305,0.565895,0.523792112533333,0.0218880375072047,NA,0.000130682706867116,0.6,28053,-0.0121449363904852,1.00007431494475
"thetaGaze.mu",0.0301401,0.150181,0.274628,0.151171351686667,0.0651091889228074,NA,0.000502624467082103,0.8,16780,-0.001458753343313,1.00002262479327
"thetaGaze[1]",0.0100003,0.100608,0.370513,0.134647897863333,0.117208211876128,NA,0.000703526029892233,0.6,27756,0.00226496113484433,0.999987567378819
"thetaGaze[2]",0.0100039,0.12518,0.415298,0.15919030853,0.129719170747079,NA,0.000846105358731791,0.7,23505,0.00509737908705169,1.00000487205022
"thetaGaze[3]",0.0100021,0.177512,0.497899,0.206311515883333,0.154229515250693,NA,0.000899782999319606,0.6,29381,0.00303149665301313,0.999994766731398
"thetaGaze[4]",0.0100737,0.373178,0.666773,0.368610184516667,0.183652229634824,NA,0.00108294581452442,0.6,28759,0.000425327866542472,0.999966474404083
"thetaGaze[5]",0.0100144,0.1550895,0.455745,0.1845989693,0.141907782196067,NA,0.000857133641497064,0.6,27410,-0.0053106608370519,0.999996812444883
"thetaGaze[6]",0.010002,0.1221905,0.426805,0.158443081223333,0.133875402327591,NA,0.00080888974196028,0.6,27392,-0.00207588746645278,1.00001599711886
"thetaGaze[7]",0.0100041,0.08085625,0.298822,0.10923372184,0.0934054744041684,NA,0.000644587697036831,0.7,20998,0.000741156406144072,1.00005829655322
"thetaGaze[8]",0.0100018,0.0461472,0.190418,0.0670182582133333,0.0603851813324395,NA,0.000399731188944025,0.7,22820,-0.00569969929649447,1.00010752544929
"thetaGaze[9]",0.0100094,0.142888,0.431674,0.173032454056667,0.134312045592666,NA,0.00083763480403195,0.6,25711,-0.004050895163084,0.999973155173054
"thetaGaze[10]",0.0100142,0.294693,0.713082,0.317317915426667,0.219712465162167,NA,0.00147093363891675,0.7,22311,0.00850357131215,1.00008832617873
"thetaGaze[11]",0.0100021,0.1518405,0.454201,0.182299239396667,0.141633773502667,NA,0.000901227532243213,0.6,24698,-0.00268419955849749,1.00004018926598
"thetaGaze[12]",0.0100062,0.192891,0.415932,0.199952661453333,0.124425850838276,NA,0.000818552273584999,0.7,23106,-0.00472912750307268,0.999958842665797
"thetaGaze[13]",0.0100003,0.080416,0.297344,0.1084910235,0.0920669589254517,NA,0.000601859948975023,0.7,23400,0.00907492243395162,1.00001288110838
"thetaGaze[14]",0.0100034,0.2935785,0.621663,0.3018611052,0.186671936545711,NA,0.00121938834442585,0.7,23435,0.000361274883537598,1.00002980664306
"thetaGaze[15]",0.0100002,0.07015545,0.292027,0.101192643446667,0.0929337860731319,NA,0.000563973563497933,0.6,27154,0.00220971034895048,0.999973843029989
"thetaGaze[16]",0.0100043,0.1748,0.517709,0.208553853206667,0.162262911044436,NA,0.000968792742643618,0.6,28053,-0.00190623061851628,1.00010116361729
"thetaGaze[17]",0.0100421,0.283689,0.606264,0.294118056926667,0.179687255035154,NA,0.00113935630043844,0.6,24872,-0.00844634056755007,1.00002327937766
"thetaGaze[18]",0.01,0.104087,0.36343,0.13633475551,0.114131470834215,NA,0.000701276558379972,0.6,26487,0.00785531641951827,0.999968490471285
"thetaGaze[19]",0.0100037,0.07038835,0.286171,0.0997577954733333,0.0911293207901443,NA,0.000568955796368601,0.6,25654,0.00139563552895418,0.999997822997473
"thetaGaze[20]",0.0100026,0.08669915,0.345546,0.12175781416,0.110213819567374,NA,0.000680982686914335,0.6,26194,0.00593714110694168,1.00000998062655
"thetaGaze[21]",0.0100039,0.1052785,0.367659,0.137126812673333,0.114321010531702,NA,0.000714816088588576,0.6,25578,-0.00467581989471662,1.00003545694616
"thetaGaze[22]",0.010001,0.269174,0.553167,0.274578311673333,0.16282269049227,NA,0.0010134031508179,0.6,25815,-0.00845429533651661,0.999978488507439
"thetaGaze[23]",0.0100011,0.04306735,0.173387,0.0610640823166667,0.0536991759678923,NA,0.000338537009050201,0.6,25161,0.0081717979478072,1.0000299143158
"thetaGaze[24]",0.0100069,0.116996,0.382156,0.14767691808,0.119528302301412,NA,0.000758146588590645,0.6,24856,0.00239562697791348,1.0000460309268
"thetaGaze[25]",0.0100025,0.1768025,0.456984,0.198132910213333,0.141162927659913,NA,0.000915260400728451,0.6,23788,-0.00600837212575635,1.00009557355853
"thetaGaze[26]",0.0100018,0.0561064,0.224056,0.0796554589366667,0.0700510549221884,NA,0.000439682964950564,0.6,25383,0.0075735879320105,0.999955626093292
"thetaGaze[27]",0.0100014,0.0736238,0.296848,0.104044801336667,0.0933390454242339,NA,0.000577231915458495,0.6,26147,-0.0054618115225638,1.00009267327248
"thetaGaze[28]",0.0100055,0.1591275,0.430238,0.18231448702,0.13274895843869,NA,0.000859274905757732,0.6,23867,-0.00247173751785878,1.00004981212226
"thetaGaze[29]",0.0100007,0.08084125,0.323801,0.11399173832,0.10277579778338,NA,0.000634414314888701,0.6,26244,-0.00632425796664372,0.999956527000231
"thetaGaze[30]",0.0100312,0.372652,0.691641,0.37041937974,0.194844773448988,NA,0.00123415263383523,0.6,24925,-0.00352952910527947,1.00003661419011
"b2.p[1]",0.473469,0.635957,0.804054,0.636157978933333,0.0843295495880636,NA,0.000534916777810494,0.6,24853,-0.000244660760485842,1.00007130602091
"b2.p[2]",0.605683,0.829875,1.09037,0.835946963833333,0.123778006238044,NA,0.000755040419333964,0.6,26875,0.0112167066483879,1.00002676280124
"b2.p[3]",0.611428,0.7888155,0.957916,0.7888834676,0.0888439306444057,NA,0.000571523930906532,0.6,24165,-0.00348373785337175,1.00006662677142
"b2.p[4]",0.556883,0.7822105,0.99937,0.7832444406,0.112987457631449,NA,0.00071489121001813,0.6,24979,-0.00172926345847352,0.999953926837992
"b2.p[5]",0.427072,0.616005,0.815489,0.6175208666,0.0992485210053463,NA,0.000609639112169303,0.6,26503,-0.000455787878484859,1.00020876525934
"b2.p[6]",0.508743,0.7325745,0.966393,0.7332332445,0.116333349421723,NA,0.000695475519061137,0.6,27980,-0.00450553718016123,1.00002271568302
"b2.p[7]",0.630406,0.850117,1.10409,0.8573657939,0.120820889739053,NA,0.000783018038544799,0.6,23809,-0.00106222328979348,1.00006475880954
"b2.p[8]",0.655204,0.8874065,1.12916,0.889780389733333,0.120036927625775,NA,0.000784760923326373,0.7,23397,-0.00644900020194012,0.999981777197776
"b2.p[9]",0.546317,0.7915735,1.07218,0.799518070733333,0.134504356021093,NA,0.000802108562041257,0.6,28119,-0.00047631173112414,0.999966122787209
"b2.p[10]",0.379679,0.710046,1.04037,0.711429729586667,0.167343049108493,NA,0.000999152628983496,0.6,28051,0.00517564831935596,1.00007795825116
"b2.p[11]",0.640316,0.875403,1.11642,0.879187760266667,0.12069131388501,NA,0.000743110845023617,0.6,26378,0.0109799781972482,1.0000084224211
"b2.p[12]",0.55049,0.7769115,1.03786,0.7822848197,0.125704237237532,NA,0.000786025641295956,0.6,25576,0.00176770846637572,1.00002539693224
"b2.p[13]",0.635274,0.859911,1.0982,0.867582963433333,0.118174013872285,NA,0.000755334543647167,0.6,24477,-0.0109156733770567,0.999968667267255
"b2.p[14]",0.45315,0.7357355,1.04857,0.738159800666667,0.151178724264926,NA,0.000925961179633134,0.6,26656,-0.00459396517623321,1.00014709123414
"b2.p[15]",0.595326,0.7766815,0.949481,0.777411701033333,0.0907025363886944,NA,0.000571748787487225,0.6,25167,-0.000205535180373497,1.00001921872974
"b2.p[16]",0.553579,0.7577315,0.96132,0.756979186,0.104467417874526,NA,0.000653117395373182,0.6,25585,0.00233849282322498,0.999999631563032
"b2.p[17]",0.621573,0.8160745,1.01169,0.816615375633333,0.0993797509684625,NA,0.00065874734824326,0.7,22759,0.00368178459950637,1.00004076917391
"b2.p[18]",0.615823,0.8551865,1.12001,0.859064183766667,0.128507385055137,NA,0.000772890629031726,0.6,27645,-9.45541040842706e-05,1.00009631100223
"b2.p[19]",0.695861,0.8925655,1.09639,0.893879745933333,0.102136241000669,NA,0.00070421799999358,0.7,21035,0.00607283800603716,1.00000542121277
"b2.p[20]",0.45744,0.63504,0.808604,0.635335391766667,0.0898126996739298,NA,0.000560015938442643,0.6,25720,0.00178187642716884,1.00010682197197
"b2.p[21]",0.776104,0.9889785,1.22348,0.9932108265,0.113963317011323,NA,0.000828800330275646,0.7,18907,-0.00500922437233524,1.00002156596714
"b2.p[22]",0.63489,0.9083455,1.19902,0.914237938333333,0.143946216326209,NA,0.000881325925088696,0.6,26676,0.0184152800177604,1.00005764532304
"b2.p[23]",0.715278,0.9177405,1.13361,0.920460608233333,0.107239934704133,NA,0.000773228619688639,0.7,19235,0.0165156511801068,0.999989047969419
"b2.p[24]",0.553445,0.790276,1.05822,0.795999837433333,0.129767762423574,NA,0.000786596015868148,0.6,27216,0.00527559103760662,1.00006957337089
"b2.p[25]",0.499532,0.7534995,1.02391,0.759844184866667,0.134689021356904,NA,0.000845014343914993,0.6,25406,-0.00171125682946708,1.0000059921032
"b2.p[26]",0.635119,0.8281765,1.03878,0.830884194033333,0.103662584155168,NA,0.000647190658632234,0.6,25655,-0.00263666463194707,0.999996399925545
"b2.p[27]",0.622886,0.8841975,1.1718,0.889762095766667,0.138718638266442,NA,0.000849513032625504,0.6,26664,-0.00116313338786232,1.00023778948389
"b2.p[28]",0.559172,0.7610805,0.995783,0.767727398266667,0.112146078013773,NA,0.000724477999450772,0.6,23962,-0.000634352869152412,1.00001019503777
"b2.p[29]",0.600491,0.8671065,1.15423,0.8712979132,0.140742688862274,NA,0.000848152003103629,0.6,27536,0.000165441186661891,0.99998524011569
"b2.p[30]",0.460873,0.6666515,0.864832,0.666128273566667,0.10285243751129,NA,0.000649328823978749,0.6,25090,-0.0107801386744788,0.999986385280253
"thetaGaze.kappa",0.888513,2.889055,6.06386,3.16714902946667,1.43786124343846,NA,0.00917095648415922,0.6,24581,0.000129977205271629,0.999970971620198
"ndt.pr",1.89623,4.607755,7.88917,4.76668479443333,1.56161737049021,NA,0.00983641847116004,0.6,25204,0.0150697730337267,0.999984569098589
"theta.p[1]",1.00129,1.315395,1.59635,1.3053826135,0.154656806803896,NA,0.00129144985071753,0.8,14341,0.0193430458562855,0.999985943594905
"theta.p[2]",1.23191,1.50605,1.72699,1.49497187873333,0.12949217760065,NA,0.000914954089757707,0.7,20030,-0.00149214717859302,1.0000292366393
"theta.p[3]",1.20593,1.563285,1.90187,1.5557306622,0.178840970987713,NA,0.00168561489694176,0.9,11257,0.0159132906818521,1.00058553235574
"theta.p[4]",1.37315,1.790015,2.1727,1.780248595,0.20498263923727,NA,0.00185709108977336,0.9,12183,0.0140187429691373,1.00025977180503
"theta.p[5]",1.77228,2.147535,2.45702,2.13108276666667,0.17929434932502,NA,0.00128717558137736,0.7,19402,0.00604405031849442,1.00006532069626
"theta.p[6]",0.913234,1.19752,1.44204,1.18686877716667,0.137960645141115,NA,0.000859837422789092,0.6,25744,0.00790023737515278,1.00029632286256
"theta.p[7]",0.845464,1.05873,1.2344,1.0491782912,0.102089105644898,NA,0.00066960954518748,0.7,23244,0.000423546340065734,1.00049244676647
"theta.p[8]",0.491471,0.669994,0.814144,0.661577140833333,0.0846447808333135,NA,0.000516865665295046,0.6,26819,0.00294980690372384,0.999992693714697
"theta.p[9]",1.55802,1.90506,2.20765,1.891300305,0.169008800523215,NA,0.00126257271369436,0.7,17919,0.00437673022806254,1.0000691835883
"theta.p[10]",0.27571,0.433001,0.555341,0.42401862696,0.0742311432953995,NA,0.000431106600939542,0.6,29649,-0.00212199011751464,1.0002579701494
"theta.p[11]",0.790005,1.021665,1.21852,1.0108729046,0.112485035141041,NA,0.000711247170598656,0.6,25012,0.00258074980041567,1.00000240846101
"theta.p[12]",0.233603,0.4419135,0.610045,0.43158576255,0.0988885465438109,NA,0.000608542055617917,0.6,26406,-0.00466350263312057,1.00028161630829
"theta.p[13]",1.03145,1.2623,1.45959,1.25436267726667,0.111173470910482,NA,0.000918900070955618,0.8,14637,-0.000799282884415203,1.00007587409083
"theta.p[14]",0.731407,0.9834055,1.19187,0.972102060566667,0.12133038963933,NA,0.00072856055917376,0.6,27734,-0.00305765699556675,1.00004127449936
"theta.p[15]",0.720394,1.011835,1.25547,1.00284207346667,0.139093350541163,NA,0.00108256902980058,0.8,16508,0.00996872203046176,1.00007177511285
"theta.p[16]",0.465941,0.6726825,0.844233,0.661611340833333,0.0997716931423051,NA,0.000616914234121561,0.6,26156,-0.00197181918233594,1.00012869038569
"theta.p[17]",1.25614,1.538595,1.7638,1.52589511873333,0.132808872456469,NA,0.000906089157229206,0.7,21484,0.000286121736477746,1.0000512769377
"theta.p[18]",0.713769,0.991876,1.2277,0.9817500856,0.13363567730479,NA,0.000834402585677542,0.6,25650,-0.000850415896358062,1.00001820643632
"theta.p[19]",0.839313,1.098865,1.33154,1.09089075856667,0.1278771303103,NA,0.000864989519170147,0.7,21856,9.1756885216716e-05,1.00008897296029
"theta.p[20]",0.854586,1.14352,1.40051,1.1326796093,0.142545706579062,NA,0.00091895761714147,0.6,24061,-0.000910509542432854,1.00016792257099
"theta.p[21]",0.272296,0.481032,0.649368,0.471417732693333,0.0984776538519263,NA,0.000706385308813837,0.7,19435,0.00391724786743897,1.0001623130865
"theta.p[22]",1.09666,1.42018,1.71384,1.4089934369,0.159912505627971,NA,0.00116023576523786,0.7,18996,0.00305378645234927,1.00009420987799
"theta.p[23]",0.504288,0.670748,0.804815,0.662419559066667,0.0785819289365443,NA,0.000487285670844378,0.6,26006,0.0116070046122711,1.0001031224836
"theta.p[24]",0.788204,1.07872,1.31589,1.06693941613333,0.137871419506387,NA,0.000967547158471659,0.7,20305,0.00470369398409917,1.00027868907502
"theta.p[25]",0.892164,1.11824,1.30425,1.1080321893,0.108388033530726,NA,0.0006669222229171,0.6,26413,0.000819725931523101,0.999968908378727
"theta.p[26]",0.467288,0.6684355,0.83277,0.659695434423333,0.0953515973923894,NA,0.000663499110902582,0.7,20653,0.00458666217482523,1.00003030280413
"theta.p[27]",0.38233,0.603214,0.792146,0.593273651963333,0.107453627979974,NA,0.000629407003491144,0.6,29146,-0.0109813714520222,1.00003037039147
"theta.p[28]",1.14405,1.380995,1.58292,1.37107841083333,0.114206531697626,NA,0.000863664033171762,0.8,17486,-0.0012033910432468,1.00004708885673
"theta.p[29]",0.822369,1.066295,1.2629,1.05489773336667,0.11581838310132,NA,0.000714070677507497,0.6,26307,-0.000658201864223835,1.00020528023365
"theta.p[30]",1.09541,1.379285,1.60821,1.3651048759,0.134529861139007,NA,0.000892736316157852,0.7,22709,-0.0106710873348385,1.00015536321191
"alpha.p[1]",0.126576,0.230515,0.311029,0.225536016123333,0.0470948056431358,NA,0.000581809504070474,1.2,6552,0.0425082939420858,1.00016717991186
"alpha.p[2]",0.202581,0.293159,0.374007,0.2901017053,0.0442509290740064,NA,0.000392096070546509,0.9,12737,0.0123557193698448,1.0002549034565
"alpha.p[3]",0.0800041,0.189506,0.269242,0.184225221606667,0.0476444428622495,NA,0.00067741658833107,1.4,4947,0.0714500509911574,1.0011856127794
"alpha.p[4]",0.121651,0.2268255,0.31191,0.221394402396667,0.0490006594127814,NA,0.000635873968095381,1.3,5938,0.0470815891131759,1.00190772486771
"alpha.p[5]",0.211604,0.302944,0.380949,0.30023760578,0.0432038376975183,NA,0.000350532620989498,0.8,15191,-0.00155924806004028,1.00007700227463
"alpha.p[6]",0.294333,0.371512,0.446571,0.370341543166667,0.0388266825447293,NA,0.00025333074658143,0.7,23490,-0.000730547566551722,1.00005602881925
"alpha.p[7]",0.243238,0.332568,0.416159,0.330382321146667,0.0441439605954587,NA,0.000320898505668397,0.7,18924,0.00123131074046669,1.00049480590836
"alpha.p[8]",0.444812,0.5311885,0.612292,0.5311280789,0.0425868833954875,NA,0.000260071026475433,0.6,26814,0.00464685187105233,1.00000391416368
"alpha.p[9]",0.173629,0.2641745,0.339866,0.2604611289,0.043231546231075,NA,0.000433729945053265,1,9935,0.01308799657462,1.00021346928113
"alpha.p[10]",0.490896,0.570661,0.646028,0.570489012333333,0.0394366290249367,NA,0.000230566294198232,0.6,29256,0.00139031238730759,1.00003042513455
"alpha.p[11]",0.277605,0.365184,0.44498,0.363317943766667,0.0426972221991203,NA,0.000282595374337076,0.7,22828,-0.00212231030766473,1.00003901528409
"alpha.p[12]",0.278499,0.3548895,0.428525,0.3538459629,0.0386409056222336,NA,0.000249421044869046,0.6,24001,-0.00712220464745531,1.00006794297771
"alpha.p[13]",0.115621,0.223413,0.308964,0.21788696497,0.0491476956469022,NA,0.000633750493851151,1.3,6014,0.0463970445934041,1.00021108379318
"alpha.p[14]",0.391569,0.465114,0.538345,0.464668576633333,0.0373754180258747,NA,0.000226121978768819,0.6,27320,0.00316434383463587,1.00008702395946
"alpha.p[15]",0.20465,0.306986,0.40036,0.30344257966,0.0502000628934095,NA,0.000447717052565402,0.9,12572,-0.00650503144574671,0.999976198328609
"alpha.p[16]",0.288743,0.368812,0.445756,0.367663319566667,0.0400639571154477,NA,0.000256091822025574,0.6,24475,-0.000210971341669379,1.00026290591623
"alpha.p[17]",0.280569,0.3728905,0.456549,0.371222782166667,0.045053416487734,NA,0.000320707677903233,0.7,19735,-0.0018307989728071,1.00006487046982
"alpha.p[18]",0.293192,0.3723815,0.447248,0.371241035633333,0.0393524996179053,NA,0.000253354367146741,0.6,24126,0.00681397693348296,0.999985917240012
"alpha.p[19]",0.294643,0.377018,0.457475,0.3765250101,0.0413797087524181,NA,0.000275572742535071,0.7,22548,-0.0134746057698175,1.00022484882911
"alpha.p[20]",0.255346,0.3350055,0.404389,0.333518312733333,0.0380637765787848,NA,0.000257950236203904,0.7,21775,0.00408098181337836,1.00030047789631
"alpha.p[21]",0.22303,0.340516,0.442552,0.337556827636667,0.0563619387525961,NA,0.000473966147458241,0.8,14141,0.0146907524371985,1.00035387396214
"alpha.p[22]",0.222656,0.309107,0.389176,0.30687149649,0.042688324989264,NA,0.000345048105753715,0.8,15306,-0.000680420396477604,1.00009907666458
