"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",0.71326,0.821413,0.933591,0.821984016933333,0.0564725672017183,NA,0.000379791562814631,0.7,22110,0.00132659660678508,1.00006350571671
"ndt.mu",0.933117,1.162485,1.3801,1.1554383475,0.116137553486101,NA,0.000683732189772374,0.6,28852,0.00276667808002982,1.00007586114464
"alpha.mu",0.290669,0.3473295,0.400693,0.34624914267,0.027982357094204,NA,0.000181587878371898,0.6,23746,0.000481570536883243,1.00002723601107
"bias.mu",0.467871,0.5124265,0.55546,0.5124457305,0.022301661416056,NA,0.000133314720341892,0.6,27985,0.000794611464460992,1.00001843112135
"thetaGaze.mu",0.642807,0.7616705,0.889666,0.764629020733333,0.0620735616827328,NA,0.000426752226041448,0.7,21157,0.000748241068417156,1.0001420686295
"thetaGaze[1]",0.472188,0.7581795,0.99,0.744819517193333,0.154084596499625,NA,0.00090386326623127,0.6,29061,0.00416987223785378,1.00003744931921
"thetaGaze[2]",0.332959,0.640368,0.956506,0.632200363876667,0.159838943487928,NA,0.000931556572976294,0.6,29441,0.00625456197968973,1.00008187737364
"thetaGaze[3]",0.680899,0.8933945,0.989999,0.8708284823,0.0978630809724198,NA,0.000589741415110039,0.6,27537,-0.000666173925272449,1.0000305753984
"thetaGaze[4]",0.562146,0.820079,0.989994,0.802181604966667,0.129118381934959,NA,0.000767232620224074,0.6,28322,0.00524019434605056,1.00004166178074
"thetaGaze[5]",0.638266,0.8644595,0.989999,0.844655268666667,0.108526534107691,NA,0.000651375470636693,0.6,27759,-0.00104977832085504,1.00003950229466
"thetaGaze[6]",0.345626,0.6746755,0.98997,0.662766789043333,0.179224729505209,NA,0.00104888229983965,0.6,29197,-0.00419290043553738,1.00012893068667
"thetaGaze[7]",0.249257,0.5894115,0.875798,0.578961589343333,0.159228254247561,NA,0.000968734984027837,0.6,27017,0.000398289209988249,1.00010046134298
"thetaGaze[8]",0.44594,0.7484895,0.99,0.7316970886,0.158798134741972,NA,0.00104792033419114,0.7,22963,0.0147432215044189,0.999973192482742
"thetaGaze[9]",0.524477,0.7846785,0.989989,0.76984781214,0.134785140603282,NA,0.000797937960584074,0.6,28533,0.00202335927795001,0.999971145904781
"thetaGaze[10]",0.316342,0.6803275,0.989898,0.664596381416667,0.194151900560618,NA,0.0012485146699978,0.6,24182,-0.00464435985112302,1.00002612122376
"thetaGaze[11]",0.462927,0.773296,0.99,0.753208465616667,0.15843331345348,NA,0.000955396499836405,0.6,27500,0.00173692823332216,1.00008808043333
"thetaGaze[12]",0.570115,0.7915205,0.989857,0.782684362646667,0.120907239848144,NA,0.000726805503680549,0.6,27674,0.00417250485910564,0.999968338297944
"thetaGaze[13]",0.601474,0.851959,0.989998,0.828990016183333,0.121010429884237,NA,0.000716797800268539,0.6,28500,0.00334056514811436,0.999958030820427
"thetaGaze[14]",0.488217,0.7566835,0.989995,0.745706921513333,0.145434433599073,NA,0.00093295171375901,0.6,24301,-0.00810374581432155,0.999961943192515
"thetaGaze[15]",0.680153,0.9038595,0.989998,0.877297626066667,0.0996098754112628,NA,0.000597431700072285,0.6,27799,0.0135299815437382,1.00003161833793
"thetaGaze[16]",0.624696,0.8889175,0.989997,0.8576948676,0.116207193328672,NA,0.000712575543809568,0.6,26595,0.0047107936080858,0.999963344794438
"thetaGaze[17]",0.465772,0.739263,0.989979,0.729972825366667,0.150490650070951,NA,0.000909591844272153,0.6,27373,0.0055889916463879,1.00005733920773
"thetaGaze[18]",0.601918,0.8730425,0.989996,0.842898845,0.123751970272142,NA,0.000745893671061321,0.6,27526,0.00398351156615786,1.00005377974915
"thetaGaze[19]",0.277802,0.585157,0.931833,0.590052160686667,0.166844842227654,NA,0.00110239940739821,0.7,22906,-0.00692855050857069,1.00001605643154
"thetaGaze[20]",0.453425,0.755179,0.989999,0.739634885243333,0.160924676348006,NA,0.000963158850212828,0.6,27916,-0.000607234396781567,1.00003416689895
"thetaGaze[21]",0.50722,0.8118435,0.989997,0.786048188633333,0.149359317716037,NA,0.000901166698879336,0.6,27470,-0.00309455012410035,0.999993041559872
"thetaGaze[22]",0.60765,0.807803,0.989911,0.800488073666667,0.109568383367007,NA,0.000640791067633436,0.6,29237,-0.00346267789281583,1.00000558594878
"thetaGaze[23]",0.552796,0.8218055,0.989999,0.801140878633333,0.132814667876627,NA,0.000869247472087762,0.7,23346,0.00698763527029435,1.00004998069942
"thetaGaze[24]",0.545311,0.833801,0.989995,0.80795433319,0.137853442929856,NA,0.000809317791215172,0.6,29013,0.000448042417414828,0.99997298357133
