"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",0.730384,0.8207755,0.91046,0.821929578433333,0.0459587726577105,NA,0.000341286016509696,0.7,18134,0.00485106624220546,1.00004106552594
"ndt.mu",0.883065,1.123765,1.33937,1.11590426123,0.116968583098276,NA,0.000694379586327537,0.6,28376,-0.00801287133281711,1.00007016032106
"alpha.mu",0.286483,0.3434035,0.39403,0.342333741042333,0.0275693748605501,NA,0.000177704488069396,0.6,24069,0.00490282156667295,1.00003158288634
"bias.mu",0.482544,0.524783,0.568502,0.5247112234,0.0218033272568602,NA,0.000131518319395762,0.6,27484,0.00826995433215317,1.00005872214819
"thetaGaze.mu",0.0145273,0.10375,0.209489,0.108628068913333,0.0542917756805668,NA,0.000415261113433368,0.8,17093,0.00426739854008196,1.00009208410836
"thetaGaze[1]",0.0100013,0.0808498,0.340167,0.116348934766667,0.10875750017667,NA,0.000654008845418549,0.6,27654,-0.00992683443156615,1.00028552472088
"thetaGaze[2]",0.0100009,0.0671059,0.273144,0.0955865375433333,0.0853669718415971,NA,0.000535395830424622,0.6,25423,0.00266756566627853,0.999982301190398
"thetaGaze[3]",0.0100038,0.1425445,0.432614,0.172750824466667,0.134951464303268,NA,0.00079529889680778,0.6,28793,-0.00545764976341236,1.00016253366262
"thetaGaze[4]",0.01,0.1413975,0.425871,0.170135548006667,0.132701920931273,NA,0.000784237666024726,0.6,28632,0.00203993339283997,1.00000716475274
"thetaGaze[5]",0.0100052,0.1234145,0.415291,0.157460236936667,0.130191760686959,NA,0.000814697212765689,0.6,25537,-0.00531625234672056,1.0000534601689
"thetaGaze[6]",0.0100006,0.03891205,0.155838,0.0554432836633333,0.048781191224299,NA,0.000303114178198616,0.6,25900,0.00145726788335293,0.999990391141674
"thetaGaze[7]",0.0100075,0.1775005,0.500504,0.206732824616667,0.156458987429849,NA,0.00107100655054983,0.7,21341,-0.000238981562910924,1.0002567222545
"thetaGaze[8]",0.0100045,0.0467764,0.203487,0.0694158959666667,0.0642076050293535,NA,0.000411538405914451,0.6,24342,0.00228669969992998,1.00002007801966
"thetaGaze[9]",0.010003,0.1295415,0.398029,0.158812264526667,0.125052256903043,NA,0.000807985835951342,0.6,23954,0.00145923395002871,1.00005489657877
"thetaGaze[10]",0.0100007,0.1065675,0.433575,0.151751938713333,0.138099085204099,NA,0.00095333214882796,0.7,20984,0.00571868571087017,1.00017252189342
"thetaGaze[11]",0.0100002,0.06863175,0.297688,0.10093675097,0.0942379047426751,NA,0.000583082854381146,0.6,26121,0.00235776384822911,1.00001692716726
"thetaGaze[12]",0.0100013,0.08146905,0.297871,0.110034859043333,0.0932374633668246,NA,0.000629057518794938,0.7,21968,0.00453433421986063,1.00001058413537
"thetaGaze[13]",0.0100068,0.1364375,0.42159,0.167859179046667,0.132726053341629,NA,0.000908451873619618,0.7,21346,0.00746585141307319,0.999963279941971
"thetaGaze[14]",0.0100005,0.1490975,0.42717,0.175584656966667,0.132616819401159,NA,0.000928615149469787,0.7,20395,0.00589674300635021,1.00006235082548
"thetaGaze[15]",0.01,0.08995665,0.333129,0.121349573246667,0.104539640813716,NA,0.000650500938367183,0.6,25827,-0.000976628556604782,1.00003232094762
"thetaGaze[16]",0.0100018,0.0597771,0.26129,0.08850968481,0.0831984051628156,NA,0.000513866518493233,0.6,26214,0.00337639572240549,1.00004352994798
"thetaGaze[17]",0.0100008,0.07799645,0.318462,0.11191912124,0.101766510081176,NA,0.000618928649525236,0.6,27035,0.00332244076854067,0.999986175972521
"thetaGaze[18]",0.0100104,0.208056,0.517571,0.227955809586667,0.159838604499047,NA,0.00103038003826945,0.6,24064,0.00668527025055827,1.00002050162831
"thetaGaze[19]",0.0100009,0.06339695,0.259054,0.0906321816166667,0.082581134111978,NA,0.000506624806294771,0.6,26570,-0.00640952419011825,0.999973029279183
"thetaGaze[20]",0.0100025,0.04529365,0.205072,0.06842604921,0.0661966036923305,NA,0.000415987370846745,0.6,25323,0.00820882248110563,1.00002827087329
"thetaGaze[21]",0.0100013,0.1667135,0.477232,0.19563314715,0.149040862992115,NA,0.000969514716992629,0.7,23632,0.000307808093676966,0.999972653798137
"thetaGaze[22]",0.0100026,0.05309375,0.208485,0.0746176791133333,0.0647587388791129,NA,0.000396094639988716,0.6,26730,0.00499514790886655,0.9999568296526
"thetaGaze[23]",0.0100002,0.07386855,0.290006,0.103102859303333,0.0908546097086844,NA,0.000597010048138695,0.7,23160,0.00896819687975299,0.99997933050537
"thetaGaze[24]",0.0100009,0.0976582,0.36309,0.132363598606667,0.114125312657003,NA,0.000702274027022641,0.6,26409,0.00147513582948061,1.00001970451872
"thetaGaze[25]",0.0100033,0.0947278,0.332304,0.12484412769,0.103561001765894,NA,0.000709552494380884,0.7,21302,0.00681832556273728,1.00010495722218
"thetaGaze[26]",0.0100014,0.110356,0.370274,0.14163934199,0.116124433846224,NA,0.000735472668696229,0.6,24930,0.00115497402277637,1.0000870569831
"thetaGaze[27]",0.0100019,0.05837295,0.247858,0.08481706797,0.0775344699280443,NA,0.000485899567739905,0.6,25462,0.00202280768631751,0.999959810588058
"thetaGaze[28]",0.0100016,0.110173,0.379849,0.143626890306667,0.119336525841528,NA,0.000742179377332311,0.6,25854,0.00747213105943823,1.0000000759024
